picture,location_active,location_sec,active_hand_hs,secondary_hand_hs,tense_lax_active,tense_lax_sec
abat Delepe_frame1,1,,120,,,
abat Delepe_frame2,99,,120,,,
abonement_frame1,104,,69,,,
abort_frame2,105,105,120,69,,0
absoljutno nichego_frame1,16,,135,,,
absoljutno nichego_frame2,16,,1,,,
absoljutno_frame2,105,105,14,14,,
abstrakcija_frame1,103,112,87,,,
abstrakcija_frame2,8,28,87,,,
absurdnyj_frame1,8,8,1,1,,
adapter_frame1,105,107,51,51,,
adaptirovat'_frame2,18,,35,,,
adaptivnost'_frame2,105,105,34,34,,
adres_frame2,105,105,73,69,0,0
aehrobika_frame1,99,101,71,71,0,0
aehrobika_frame2,99,101,71,71,0,0
aehrograf_frame2,100,101,21,71,,
aehrozol'_frame1,99,,14,,,
aehrozol'_frame2,38,,21,,,
Afganistan_frame1,100,,71,,,
Afganistan_frame2,38,,71,,,
agressija_frame2,105,,1,,,
agressivnyj_frame2,105,,1,,,
akademija_frame1,13,,79,,,
akademija_frame2,13,,79,,,
akkuratnyj_frame2,100,,23,,,
akrobat_frame1,105,105,41,71,,0
akrobat_frame2,105,105,41,71,,0
aktivnyj_frame1,98,102,71,71,,
aktivnyj_frame2,105,105,71,71,,
akula_frame1,99,,69,,0,
akula_frame2,100,,69,,0,
akustika_frame2,83,84,144,144,,
al'bom_frame1,105,105,69,71,0,0
al'bom_frame2,105,105,69,71,0,0
al'ternativa_frame1,105,105,13,15,,
al'ternativa_frame2,105,105,13,15,,
Albanija_frame2,105,105,87,87,,
alchnost'_frame1,104,106,101,101,,
alchnost'_frame2,104,106,12,12,,
alibi_frame1,105,105,34,71,,0
alibi_frame2,105,105,34,71,,0
aljuminij_frame1,99,,1,,,
aljuminij_frame2,99,,1,,,
alkash_frame1,99,,13,,,
alkash_frame2,99,,13,,,
alkogolizm_frame2,101,,1,,,
allergija_frame1,119,,95,71,,0
alligator_frame1,105,105,96,96,,
alligator_frame2,105,105,96,96,,
Amerika_frame2,2,,103,,0,
amnistirovat'_frame1,105,105,152,152,,
amnistirovat'_frame2,110,110,152,152,,
amplituda_frame1,100,100,13,14,,
amplituda_frame2,100,100,13,14,,
analiz_frame2,100,100,41,41,,
anatomija_frame1,105,105,96,96,,
anatomija_frame2,105,105,96,96,,
anekdot_frame1,99,,144,,0,
angel_frame1,101,99,34,34,,
anglija_frame2,32,,51,,,
anglijskij_frame2,32,,51,,,
animator_frame1,105,105,1,1,,
animator_frame2,105,105,1,1,,
annulirovanie_frame1,110,110,69,71,,
annulirovat'_frame1,105,107,13,71,,
annulirovat'_frame2,105,107,13,71,,
antenna_frame1,98,122,95,,0,
antenna_frame2,1,122,95,,,
