meaning,code1,code2,length,complex_simple,path,orientation,aperture,full_repeat,return,trill,second_hand,path2,orientation2,aperture2,full_repeat2,return2,trill2
абат Делепе,0,0,7,1,1,1,0,0,0,0,0,,,,,,
абонемент,0,0,7,1,0,0,1,1,1,0,0,,,,,,
аборт,0,0,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0
абсолютно ничего,0,1,15,0,0,0,1,0,0,0,0,,,,,,
абсолютно,0,0,12,0,0,1,0,0,0,0,1,,,,,,
абстракция,1,1,5,1,1,1,0,1,1,0,1,,,,,,
абсурдный,1,1,14,1,1,0,0,1,1,0,1,,,,,,
авария,0,1,12,0,1,0,0,0,0,0,1,,,,,,
авиаперелёт,0,1,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
Австралия,0,0,2,1,1,0,1,0,0,0,1,,,,,,
Австрия,1,0,40,1,0,0,1,0,0,1,1,,,,,,
автобус,0,1,3,0,1,0,0,0,0,0,1,,,,,,
автомобиль,0,1,9,0,0,1,0,0,0,0,1,,,,,,
автопокрышка,0,1,12,1,1,1,0,0,1,0,1,0,0,0,0,0,0
авторучка,1,1,24,1,0,0,0,0,0,1,0,,,,,,
агрессивный,0,0,30,1,1,0,0,1,1,0,0,,,,,,
агрессия,0,1,7,1,1,0,0,1,1,0,0,,,,,,
адаптер,0,0,0,0,1,0,0,0,0,0,1,,,,,,
адаптивость,0,1,16,1,1,0,1,0,0,1,1,,,,,,
адрес,0,1,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Азербайджан,0,0,31,0,0,0,1,0,0,0,0,,,,,,
академия,0,1,16,1,0,0,0,0,0,1,0,,,,,,
аккуратный,0,0,15,0,0,1,0,0,0,0,0,,,,,,
акробат,0,1,5,1,0,1,0,1,1,0,1,0,0,0,0,0,0
активный,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
акула,0,1,18,1,1,1,0,1,0,0,0,,,,,,
акустика,1,1,6,1,0,0,0,0,0,1,1,,,,,,
Албания,1,1,7,1,0,0,0,0,0,1,1,,,,,,
алиби,0,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0
алкаш,0,1,9,0,1,0,0,0,0,0,0,,,,,,
алкоголизм,0,0,7,0,1,0,0,0,0,0,0,,,,,,
алкоголь,0,1,9,1,0,1,0,1,0,0,0,,,,,,
аллергия,1,1,19,1,0,0,0,0,0,1,1,0,0,0,0,0,0
аллигатор,0,1,19,1,0,1,0,1,0,0,1,,,,,,
алчность,0,1,6,1,1,0,1,0,0,0,1,,,,,,
альбом,0,1,7,1,1,1,0,1,0,0,1,0,0,0,0,0,0
альтернатива,0,1,13,1,0,1,0,1,1,0,1,0,0,0,0,0,0
алюминий,1,1,4,1,0,1,0,0,0,1,0,,,,,,
Америка,0,1,7,1,0,1,0,0,0,1,0,,,,,,
амнистировать,0,1,18,0,0,1,0,0,0,0,1,,,,,,
амплитуда,1,1,7,1,1,1,0,1,0,0,1,0,0,0,0,0,0
ампутировать,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
анализ,0,0,17,1,0,1,0,0,0,1,1,,,,,,
анализировать,0,1,16,1,0,1,0,1,0,0,1,,,,,,
анатомия,0,1,4,0,1,0,0,0,0,0,1,,,,,,
