unique_values,counts,percentage
69.0,572,15.8
71.0,565,15.6
14.0,281,7.8
87.0,276,7.6
1.0,182,5.0
144.0,95,2.6
24.0,86,2.4
2.0,75,2.1
3.0,72,2.0
34.0,62,1.7
13.0,62,1.7
96.0,61,1.7
70.0,57,1.6
18.0,56,1.5
97.0,54,1.5
137.0,52,1.4
91.0,49,1.4
30.0,47,1.3
21.0,46,1.3
51.0,44,1.2
75.0,43,1.2
15.0,40,1.1
95.0,35,1.0
141.0,33,0.9
140.0,31,0.9
73.0,29,0.8
111.0,28,0.8
136.0,28,0.8
76.0,27,0.7
68.0,26,0.7
125.0,25,0.7
110.0,25,0.7
59.0,24,0.7
78.0,24,0.7
152.0,22,0.6
92.0,21,0.6
86.0,20,0.6
103.0,19,0.5
12.0,19,0.5
79.0,17,0.5
155.0,17,0.5
7.0,16,0.4
101.0,15,0.4
29.0,12,0.3
33.0,12,0.3
162.0,12,0.3
100.0,11,0.3
74.0,9,0.2
115.0,8,0.2
109.0,8,0.2
104.0,8,0.2
52.0,7,0.2
85.0,7,0.2
41.0,7,0.2
38.0,7,0.2
158.0,7,0.2
88.0,6,0.2
72.0,6,0.2
135.0,6,0.2
167.0,6,0.2
11.0,5,0.1
147.0,5,0.1
163.0,5,0.1
25.0,5,0.1
114.0,5,0.1
113.0,5,0.1
64.0,4,0.1
50.0,4,0.1
89.0,4,0.1
55.0,3,0.1
129.0,3,0.1
80.0,3,0.1
16.0,3,0.1
112.0,3,0.1
146.0,3,0.1
82.0,3,0.1
83.0,2,0.1
139.0,2,0.1
61.0,2,0.1
133.0,2,0.1
58.0,2,0.1
107.0,2,0.1
23.0,2,0.1
160.0,2,0.1
106.0,2,0.1
134.0,2,0.1
153.0,2,0.1
35.0,2,0.1
119.0,2,0.1
1077.0,1,0.0
164.0,1,0.0
171.0,1,0.0
169.0,1,0.0
166.0,1,0.0
45.0,1,0.0
81.0,1,0.0
40.0,1,0.0
28.0,1,0.0
142.0,1,0.0
168.0,1,0.0
157.0,1,0.0
20.0,1,0.0
90.0,1,0.0
36.0,1,0.0
98.0,1,0.0
